testMse:0.059653077,testPSNR:29.031668,mse:0.20983574,ema:0.20977099,time:82.16906328099942,frame:54000
testMse:0.059714176,testPSNR:29.027222,mse:0.21149701,ema:0.21069315,time:82.92942153899963,frame:54500
testMse:0.05964954,testPSNR:29.031925,mse:0.21026362,ema:0.21109116,time:83.69709062799946,frame:55000
testMse:0.05971021,testPSNR:29.02751,mse:0.21132085,ema:0.21088615,time:84.46139621599934,frame:55500
testMse:0.05959702,testPSNR:29.03575,mse:0.20883793,ema:0.2093712,time:85.22360170999922,frame:56000
testMse:0.05968944,testPSNR:29.029022,mse:0.2091118,ema:0.21039708,time:85.99123982299935,frame:56500
testMse:0.05959991,testPSNR:29.03554,mse:0.20962013,ema:0.21005833,time:86.75179712499921,frame:57000
testMse:0.05952467,testPSNR:29.041025,mse:0.2086142,ema:0.21008825,time:87.5195298489994,frame:57500
testMse:0.059534132,testPSNR:29.040337,mse:0.21078914,ema:0.21070936,time:88.28573257799937,frame:58000
testMse:0.059448626,testPSNR:29.046577,mse:0.21306345,ema:0.21082632,time:89.04777613199927,frame:58500
testMse:0.059480548,testPSNR:29.044247,mse:0.2087535,ema:0.21053496,time:89.80775942399931,frame:59000
testMse:0.059381556,testPSNR:29.05148,mse:0.2106614,ema:0.2104167,time:90.56799026399938,frame:59500
testMse:0.059359,testPSNR:29.053131,mse:0.2103397,ema:0.21046495,time:91.33199879299936,frame:60000
testMse:0.059327595,testPSNR:29.055428,mse:0.20970933,ema:0.21083412,time:92.0941633659993,frame:60500
testMse:0.059330493,testPSNR:29.055216,mse:0.20683546,ema:0.20946518,time:92.85412049399915,frame:61000
testMse:0.059273325,testPSNR:29.059402,mse:0.21029058,ema:0.20987429,time:93.61438975799913,frame:61500
testMse:0.059259575,testPSNR:29.060411,mse:0.20764017,ema:0.21036845,time:94.37502847699903,frame:62000
testMse:0.059335206,testPSNR:29.05487,mse:0.20899895,ema:0.21022329,time:95.13880322999896,frame:62500
testMse:0.059203148,testPSNR:29.064548,mse:0.20918567,ema:0.21091478,time:95.89925160499905,frame:63000
testMse:0.05917024,testPSNR:29.066963,mse:0.21185508,ema:0.21140674,time:96.66011601399896,frame:63500
testMse:0.059205387,testPSNR:29.064384,mse:0.20909898,ema:0.21034843,time:97.4214734149989,frame:64000
testMse:0.059230722,testPSNR:29.062523,mse:0.20938626,ema:0.21045938,time:98.1818409759988,frame:64500
testMse:0.059205092,testPSNR:29.064405,mse:0.20967627,ema:0.21066222,time:98.94201162599889,frame:65000
testMse:0.05917563,testPSNR:29.066566,mse:0.21074142,ema:0.21121117,time:99.70469482599896,frame:65500
testMse:0.059175182,testPSNR:29.0666,mse:0.21017422,ema:0.21114856,time:100.46787629499894,frame:66000
testMse:0.059099883,testPSNR:29.07213,mse:0.20946364,ema:0.21041903,time:101.22810923699896,frame:66500
testMse:0.059062913,testPSNR:29.074848,mse:0.21169187,ema:0.2112986,time:101.98863663899886,frame:67000
testMse:0.059127226,testPSNR:29.07012,mse:0.20842174,ema:0.20975058,time:102.75034241399882,frame:67500
testMse:0.05911394,testPSNR:29.071098,mse:0.21036497,ema:0.211109,time:103.51367355399888,frame:68000
testMse:0.05910015,testPSNR:29.07211,mse:0.20958543,ema:0.20999356,time:104.27383642199887,frame:68500
testMse:0.05902216,testPSNR:29.077845,mse:0.21099766,ema:0.21097155,time:105.03382049599894,frame:69000
testMse:0.05912891,testPSNR:29.069996,mse:0.20734343,ema:0.20984335,time:105.79358597599897,frame:69500
testMse:0.059122216,testPSNR:29.070488,mse:0.20971613,ema:0.21050224,time:106.55391732799889,frame:70000
testMse:0.05904562,testPSNR:29.076118,mse:0.21065277,ema:0.21130507,time:107.31386079999888,frame:70500
testMse:0.05906635,testPSNR:29.074593,mse:0.20953663,ema:0.21014316,time:108.07404080999902,frame:71000
testMse:0.058950108,testPSNR:29.083149,mse:0.20967,ema:0.21126531,time:108.8345301889991,frame:71500
testMse:0.059053224,testPSNR:29.075562,mse:0.2128039,ema:0.21083078,time:109.59501716099903,frame:72000
testMse:0.059072014,testPSNR:29.074177,mse:0.21059686,ema:0.2106375,time:110.35575199699908,frame:72500
testMse:0.05899186,testPSNR:29.080074,mse:0.20940553,ema:0.20970246,time:111.11676662699908,frame:73000
testMse:0.058955226,testPSNR:29.082773,mse:0.21462436,ema:0.21118274,time:111.87746604699903,frame:73500
testMse:0.058899898,testPSNR:29.086853,mse:0.20978111,ema:0.210789,time:112.63781314299911,frame:74000
testMse:0.05897851,testPSNR:29.081059,mse:0.21344483,ema:0.21077213,time:113.3980627369991,frame:74500
testMse:0.0589056,testPSNR:29.08643,mse:0.20975547,ema:0.21095882,time:114.15830528999908,frame:75000
testMse:0.058950014,testPSNR:29.083157,mse:0.20929419,ema:0.20993029,time:114.91867700399912,frame:75500
testMse:0.058974758,testPSNR:29.081335,mse:0.21236517,ema:0.21110213,time:115.67886694799918,frame:76000
testMse:0.058911446,testPSNR:29.085999,mse:0.21151283,ema:0.21115908,time:116.43964894999925,frame:76500
testMse:0.05892077,testPSNR:29.085312,mse:0.20833963,ema:0.21019769,time:117.20011186599939,frame:77000
testMse:0.058863286,testPSNR:29.08955,mse:0.20970511,ema:0.2100291,time:117.96028166399942,frame:77500
