gt_L_r,gt_L_g,gt_L_b,gt_T_r,gt_T_g,gt_T_b,pred_L_r,pred_L_g,pred_L_b,pred_T_r,pred_T_g,pred_T_b
0,0,0,0,0,0,0,0,0,0.999971,0.958847,0.702428
0,0,0,1,0.938402,0.658096,0,0,0,1,0.973645,0.72487
0,0,0,0,0,0,0,0,0,0.99964,0.953275,0.739422
7.36686e-05,0,0,1,0.966487,0.225187,0,0,0,0.778481,0.752377,0.603348
0,0,0,1,0.942756,0.464872,0,0,0,1,0.968915,0.743913
0,0,0,1,0.978472,0.207185,0,0,0,0.997766,0.96741,0.787278
0,0,0,1,0.919114,1,0,0,0,0.999998,0.948728,0.710025
0,0,0,0,0,0,0,0,0,0.999487,0.913213,0.671147
0,0,0,1,0.964538,1,0,0,0,0.99999,0.956391,0.730674
0,0,0,1,0.956888,1,0,0,0,0.999905,0.920361,0.674158
0,0,0,0,0,0,0,0,0,1,0.97419,0.747063
0,0,0,0,0,0,0,0,0,0.999997,0.949201,0.699665
0,0,0,1,0.949949,1,0,0,0,0.999982,0.952397,0.720565
1.69276e-05,5.96046e-07,0,0,0,0,0,0,0,0.912592,0.846704,0.649912
0,0,0,1,0.945805,0.396499,0,0,0,1,0.976714,0.723016
0,0,0,1,0.954126,0.244087,0,0,0,0.999997,0.931463,0.681303
0,0,0,0.993494,0.91258,1,0,0,0,1,0.973695,0.725649
0,0,0,0,0,0,0,0,0,0.914901,0.886617,0.672117
0,0,0,0.981115,0.924232,1,0,0,0,0.808974,0.779825,0.584212
0,0,0,1,0.980243,0.199083,0,0,0,1,0.970296,0.722723
0,0,0,1,0.937493,1,0,0,0,0.890865,0.833189,0.635901
0,0,0,1,0.952452,0.263026,0,0,0,0.998745,0.973342,0.794225
0,0,0,0,0,0,0,0,0,0.999999,0.930458,0.680985
0,0,0,1,0.958588,0.216472,0,0,0,1,0.988928,0.743354
0,0,0,1,0.998115,0.370503,0,0,0,0.999997,0.973088,0.761538
0,0,0,0.992152,0.950069,0.855178,0,0,0,0.555526,0.514606,0.371707
0,0,0,0.991025,0.914079,1,0,0,0,0.999992,0.964722,0.718199
0,0,0,1,0.97541,0.201018,0,0,0,1,0.978467,0.753285
0,0,0,1,0.97337,0.195528,0,0,0,1,0.939582,0.685634
0,0,0,0,0,0,0,0,0,0.999973,0.923868,0.673621
0,0,0,1,0.936312,0.396565,0,0,0,0.99839,0.974141,0.787278
0,0,0,1,0.950688,0.309119,0,0,0,0.99883,0.903294,0.673514
0,0,0,1,0.977787,0.487516,0,0,0,1,0.975762,0.719975
0,0,0,1,0.945672,1,0,0,0,0.985663,0.949576,0.794544
0,0,0,1,0.949531,1,0,0,0,0.999968,0.956063,0.715921
0,0,0,1,0.95572,1,0,0,0,0.959307,0.943348,0.776962
0,0,0,0,0,0,0,0,0,0.861188,0.83128,0.622574
0,0,0,1,0.924055,1,0,0,0,0.890865,0.837354,0.633297
0,0,0,1,0.938522,0.65938,0,0,0,1,0.946498,0.689201
0,0,0,1,0.953324,1,0,0,0,0.999998,0.970688,0.712832
0,0,0,1,0.98281,0.369236,0,0,0,0.998528,0.972257,0.779825
0,0,0,1,0.939573,1,0,0,0,0.999913,0.913984,0.6705
0,0,0,0,0,0,0,0,0,0.928797,0.903465,0.717507
0,0,0,1,0.985052,0.210592,0,0,0,1,0.97458,0.721547
0,0,0,1,0.955417,1,0,0,0,0.999992,0.92657,0.674479
0,0,0,1,0.942048,1,0,0,0,0.960731,0.933309,0.754373
0,0,0,1,0.945798,1,0,0,0,1,0.966028,0.734881
0,0,0,0.965637,0.935513,1,0,0,0,0.99999,0.965512,0.720958
0,0,0,1,0.941752,0.536423,0,0,0,0.883034,0.856812,0.661158
0,0,0,1,0.968366,0.212746,0,0,0,0.999988,0.934634,0.703855
0,0,0,1,0.963291,0.242211,0,0,0,0.956063,0.926968,0.776284
0,0,0,1,0.964843,1,0,0,0,0.99585,0.957675,0.746324
0,0,0,1,0.935642,0.698521,0,0,0,0.999987,0.941331,0.71423
0,0,0,1,0.952449,0.263021,0,0,0,0.999961,0.946794,0.722527
0,0,0,1,0.971214,0.204964,0,0,0,0.999999,0.954647,0.73431
0,0,0,0.989766,0.918316,1,0,0,0,0.99091,0.894605,0.681197
0,0,0,0,0,0,0,0,0,0.999997,0.947478,0.699152
0,0,0,1,0.971095,0.204629,0,0,0,0.999982,0.966474,0.716516
0,0,0,1,0.932535,1,0,0,0,0.97649,0.954052,0.78233
0,0,0,0.993129,0.930756,1,0,0,0,0.995133,0.928926,0.698329
0,0,0,1,0.965832,0.227551,0,0,0,0.946892,0.920504,0.72526
0,0,0,1,0.939549,0.616212,0,0,0,0.89275,0.85931,0.662469
0,0,0,1,0.938378,0.657852,0,0,0,0.998132,0.971833,0.778986
0,0,0,1,0.963933,0.241545,0,0,0,0.999999,0.980243,0.739422
0,0,0,1,0.973461,0.190724,0,0,0,1,0.95846,0.708112
0,0,0,1,0.938618,0.660405,0,0,0,0.997649,0.971238,0.801936
0,0,0,0.991695,0.919548,1,0,0,0,0.999963,0.927757,0.674265
0,0,0,1,0.937895,1,0,0,0,1,0.970013,0.733165
0,0,0,1,0.909565,1,0,0,0,0.936518,0.901053,0.707506
0,0,0,1,0.927736,0.657209,0,0,0,0.892937,0.859546,0.664323
0,0,0,0,0,0,0,0,0,0.948155,0.923178,0.765243
0,0,0,0,0,0,0,0,0,0.918626,0.849472,0.654232
0,0,0,1,0.910381,1,0,0,0,1,0.971129,0.736211
